brand,name,price,registration_yr,insurance,fuel_type,seats,km_driven,ownership,engine_displacement,transmission,manufacture_yr
Tata,Tata Nexon Creative Plus S,997000.0,2024,Own Damage,Petrol,5,10000 ,First Owner,1199 ,Manual,2024
Kia,Kia Sonet HTX Plus Turbo iMT DT,850000.0,2022,Comprehensive,Petrol,5,28000 ,First Owner,998 ,Manual,2022
Tata,Tata Hexa XTA,725000.0,2018,Comprehensive,Diesel,7,82000 ,First Owner,2179 ,Automatic,2018
Kia,Kia Seltos HTX IVT G,950000.0,2020,Zero Dep,Petrol,5,90000 ,First Owner,1497 ,Automatic,2020
Hyundai,Hyundai Creta 1.4 E Plus,735000.0,2019,Own Damage,Diesel,5,70000 ,First Owner,1396 ,Manual,2019
Hyundai,Hyundai Verna VTVT 1.6 SX Option,700000.0,2018,Comprehensive,Petrol,5,29000 ,Second Owner,1591 ,Manual,2018
Maruti,Maruti Eeco 5 Seater AC CNG,625000.0,2025,Zero Dep,CNG,5,6890 ,First Owner,1197 ,Manual,2025
Tata,Tata Nexon XM S BSVI,690000.0,2022,Own Damage,Petrol,5,39000 ,First Owner,1199 ,Manual,2022
Jeep,Jeep Compass 2.0 Limited 4X4,825000.0,2018,Own Damage,Diesel,5,79500 ,Second Owner,1956 ,Manual,2018
Hyundai,Hyundai Creta 1.6 SX Automatic,750000.0,2019,Own Damage,Petrol,5,70000 ,Second Owner,1591 ,Automatic,2019
Hyundai,Hyundai Creta 1.6 VTVT AT SX Plus,875000.0,2018,Own Damage,Petrol,5,69000 ,First Owner,1591 ,Automatic,2018
Mahindra,Mahindra XUV500 AT W10 FWD,630000.0,2017,Third Party,Diesel,7,94500 ,Second Owner,2179 ,Automatic,2017
MG,MG Hector Sharp DCT,925000.0,2021,Comprehensive,Petrol,5,81000 ,Second Owner,1451 ,Automatic,2020
Honda,Honda City i-DTEC V,647000.0,2019,Own Damage,Diesel,5,69000 ,Second Owner,1498 ,Manual,2019
Hyundai,Hyundai Grand i10 Nios Sportz,675000.0,2023,Own Damage,Petrol,5,22000 ,First Owner,1197 ,Manual,2023
Hyundai,Hyundai Venue SX Plus Turbo DCT BSIV,790000.0,2019,Comprehensive,Petrol,5,35000 ,First Owner,998 ,Automatic,2019
Maruti,Maruti Ciaz Zeta Automatic BSIV,645000.0,2019,Comprehensive,Petrol,5,5900 ,First Owner,1462 ,Automatic,2019
Hyundai,Hyundai Creta 1.6 CRDi SX,765000.0,2018,Zero Dep,Diesel,5,70000 ,First Owner,1582 ,Manual,2018
Hyundai,Hyundai Verna VTVT 1.6 AT SX Plus,849000.0,2019,Own Damage,Petrol,5,30000 ,Second Owner,1591 ,Automatic,2019
Toyota,Toyota Yaris J CVT,660000.0,2019,Own Damage,Petrol,5,68000 ,First Owner,1496 ,Automatic,2019
MG,MG Hector Sharp Diesel MT BSIV,800000.0,2019,Own Damage,Diesel,5,56000 ,First Owner,1956 ,Manual,2019
Kia,Kia Sonet HTK Plus Diesel BSVI,810000.0,2021,Comprehensive,Diesel,5,50000 ,First Owner,1493 ,Manual,2021
Kia,Kia Sonet HTK Plus BSVI,775000.0,2022,Comprehensive,Petrol,5,35000 ,First Owner,1197 ,Manual,2022
Hyundai,Hyundai Creta 1.6 VTVT S,675000.0,2016,Comprehensive,Petrol,5,64000 ,First Owner,1591 ,Manual,2016
Toyota,Toyota Urban cruiser Mid,700000.0,2022,Own Damage,Petrol,5,80000 ,First Owner,1462 ,Manual,2022
Hyundai,Hyundai Creta 1.6 VTVT AT SX Plus,749000.0,2017,Own Damage,Petrol,5,72000 ,First Owner,1591 ,Automatic,2017
Hyundai,Hyundai Creta 1.6 VTVT AT SX Plus,625000.0,2016,Own Damage,Petrol,5,54200 ,First Owner,1591 ,Automatic,2016
Honda,Honda City i-VTEC CVT VX,695000.0,2018,Own Damage,Petrol,5,70000 ,First Owner,1497 ,Automatic,2018
Hyundai,Hyundai Venue SX Opt Turbo BSIV,685000.0,2019,Comprehensive,Petrol,5,38000 ,First Owner,998 ,Manual,2019
MG,MG Hector Sharp Diesel MT,975000.0,2020,Zero Dep,Diesel,5,85000 ,First Owner,1956 ,Manual,2020
Maruti,Maruti XL6 Zeta,825000.0,2021,Comprehensive,Petrol,6,56000 ,First Owner,1462 ,Manual,2021
Hyundai,Hyundai Creta 1.4 E Plus CRDi,625000.0,2017,Own Damage,Diesel,5,150000 ,First Owner,1396 ,Manual,2017
Hyundai,Hyundai Creta 1.6 CRDi AT SX Plus,699000.0,2017,Own Damage,Diesel,5,85000 ,Second Owner,1582 ,Automatic,2017
MG,MG Hector Hybrid Sharp MT BSIV,875000.0,2019,Comprehensive,Petrol,5,59000 ,First Owner,1451 ,Manual,2019
Honda,Honda City V CVT,997000.0,2022,Comprehensive,Petrol,5,34000 ,First Owner,1498 ,Automatic,2022
Tata,Tata Nexon XM S BSVI,690000.0,2022,Own Damage,Petrol,5,47000 ,First Owner,1199 ,Manual,2022
Maruti,Maruti Ertiga VDI,750000.0,2019,Zero Dep,Diesel,7,200000 ,First Owner,1248 ,Manual,2019
Hyundai,Hyundai Creta 1.6 VTVT AT SX Plus,699000.0,2017,Own Damage,Petrol,5,82000 ,First Owner,1591 ,Automatic,2017
Tata,Tata Hexa XM,625000.0,2017,Own Damage,Diesel,7,95000 ,Second Owner,2179 ,Manual,2017
Kia,Kia Sonet HTX Turbo DCT Anniversary Edition,990000.0,2022,Own Damage,Petrol,5,28000 ,First Owner,998 ,Automatic,2022
Hyundai,Hyundai Creta 1.6 VTVT SX Plus,771000.0,2018,Own Damage,Petrol,5,71000 ,First Owner,1591 ,Manual,2018
Hyundai,Hyundai Creta 1.6 VTVT AT SX Plus,890000.0,2018,Own Damage,Petrol,5,69000 ,First Owner,1591 ,Automatic,2018
Kia,Kia Seltos GTX,871000.0,2019,Comprehensive,Petrol,5,41000 ,First Owner,1353 ,Manual,2019
Hyundai,Hyundai Creta 1.6 E Plus,790000.0,2018,Comprehensive,Petrol,5,51000 ,First Owner,1591 ,Manual,2018
Maruti,Maruti XL6 Alpha,775000.0,2019,Comprehensive,Petrol,6,72000 ,First Owner,1462 ,Manual,2019
Hyundai,Hyundai Creta 1.6 VTVT AT SX Plus,950000.0,2018,Own Damage,Petrol,5,58000 ,First Owner,1591 ,Automatic,2018
Hyundai,Hyundai Venue S Turbo DCT BSIV,711000.0,2019,Comprehensive,Petrol,5,65000 ,First Owner,998 ,Automatic,2019
Honda,Honda City i-VTEC CVT ZX,790000.0,2019,Own Damage,Petrol,5,55000 ,First Owner,1497 ,Automatic,2019
Kia,Kia Sonet HTK Plus BSVI,650000.0,2020,Comprehensive,Petrol,5,78000 ,First Owner,1197 ,Manual,2020
Hyundai,Hyundai Creta 1.6 EX Petrol,899000.0,2020,Zero Dep,Petrol,5,59000 ,First Owner,1591 ,Manual,2020
Hyundai,Hyundai i20 Asta Turbo DCT,915000.0,2022,Comprehensive,Petrol,5,42000 ,First Owner,998 ,Automatic,2022
Hyundai,Hyundai Creta 1.6 SX Automatic,740000.0,2019,Comprehensive,Petrol,5,78000 ,Second Owner,1591 ,Automatic,2019
Tata,Tata Hexa XTA,650000.0,2017,Own Damage,Diesel,7,95000 ,Second Owner,2179 ,Automatic,2017
Hyundai,Hyundai Verna SX IVT,925000.0,2021,Own Damage,Petrol,5,26700 ,First Owner,1497 ,Automatic,2021
Maruti,Maruti Ertiga ZXI AT,750000.0,2019,Own Damage,Petrol,7,60000 ,First Owner,1462 ,Automatic,2019
Maruti,Maruti XL6 Zeta,899000.0,2021,Comprehensive,Petrol,6,18006 ,First Owner,1462 ,Manual,2021
Kia,Kia Sonet HTX Turbo iMT Anniversary Edition,800000.0,2022,Own Damage,Petrol,5,16200 ,First Owner,998 ,Automatic,2022
Audi,Audi A6 2.8 FSI,650000.0,2011,Own Damage,Petrol,5,69000 ,Third Owner,2773 ,Automatic,2011
Mercedes-Benz,Mercedes-Benz E-Class E 200 CGI Avantgarde,625000.0,2012,Comprehensive,Petrol,5,34000 ,First Owner,1796 ,Automatic,2012
Mahindra,Mahindra XUV500 W7,1000000.0,2021,Own Damage,Diesel,7,30000 ,First Owner,2179 ,Manual,2021
Toyota,Toyota Taisor S Plus AMT,900000.0,2025,Own Damage,Petrol,5,250 ,First Owner,1197 ,Automatic,2025
Kia,Kia Sonet HTX Diesel BSVI,890000.0,2021,Comprehensive,Diesel,5,41000 ,First Owner,1493 ,Manual,2021
