url,title,price,registration_yr,insurance,fuel_type,seats,km_driven,ownership,engine_displacement,transmission,manufacture_yr
https://www.cardekho.com/used-car-details/used-Tata-nexon-creative-plus-s-cars-New-Delhi_b9998978-13be-484a-b426-ae40d0d7fa85.htm?adId=15159&adType=41,2024 Tata Nexon Creative Plus S,₹9.97 Lakh,2024,-,Petrol,5 Seats,"10,000 Kms",First Owner,1199 cc,Manual,2024
,2022 Kia Sonet HTX Plus Turbo iMT DT,₹8.50 LakhMake Your Offer,Feb 2022,Comprehensive,Petrol,5 Seats,"28,000 Kms",First Owner,998 cc,Manual,2022
,2018 Tata Hexa XTA,₹7.25 LakhMake Your Offer,Mar 2018,Comprehensive,Diesel,7 Seats,"82,000 Kms",First Owner,2179 cc,Automatic,2018
,2020 Kia Seltos HTX IVT G,₹9.50 Lakh,2020,Zero Dep,Petrol,5 Seats,"90,000 Kms",First Owner,1497 cc,Automatic,2020
,2019 Hyundai Creta 1.4 E Plus,₹7.35 LakhMake Your Offer,May 2019,-,Diesel,5 Seats,"70,000 Kms",First Owner,1396 cc,Manual,2019
,2018 Hyundai Verna VTVT 1.6 SX Option,₹7 Lakh,2018,Comprehensive,Petrol,5 Seats,"29,000 Kms",Second Owner,1591 cc,Manual,2018
,2025 Maruti Eeco 5 Seater AC CNG,₹6.25 Lakh,2025,Zero Dep,CNG,5 Seats,"6,890 Kms",First Owner,1197 cc,Manual,2025
,2022 Tata Nexon XM S BSVI,₹6.90 LakhMake Your Offer,Jan 2022,-,Petrol,5 Seats,"39,000 Kms",First Owner,1199 cc,Manual,2022
,2018 Jeep Compass 2.0 Limited 4X4,₹8.25 LakhMake Your Offer,Jun 2018,-,Diesel,5 Seats,"79,500 Kms",Second Owner,1956 cc,Manual,2018
,2019 Hyundai Creta 1.6 SX Automatic,₹7.50 LakhMake Your Offer,Jan 2019,-,Petrol,5 Seats,"70,000 Kms",Second Owner,1591 cc,Automatic,2019
